KAJ8019408	XP_030852855
KAJ8033008	XP_030839281
KAJ8033328	XP_030838582
KAJ8033392	XP_001195605
KAJ8033520	XP_030841052
KAJ8033616	XP_011678374
KAJ8033936	XP_030838816
KAJ8034160	XP_792782
KAJ8034192	XP_030849217
KAJ8034256	XP_011679884
KAJ8034320	NP_001229584
KAJ8034512	XP_030833561
KAJ8034704	XP_030833495
KAJ8034864	XP_030834255
KAJ8034896	XP_001199384
KAJ8035280	XP_030835092
KAJ8035536	XP_030829469
KAJ8035600	XP_780421
KAJ8035632	XP_030829094
KAJ8035792	XP_030829381
KAJ8035888	XP_030829069
KAJ8035920	XP_788296
KAJ8035952	XP_030844956
KAJ8036016	XP_011665967
KAJ8036048	XP_030828358
KAJ8036080	XP_011663843
KAJ8036304	XP_030828973
KAJ8036336	XP_011682126
KAJ8036432	XP_785357
KAJ8036496	XP_030828820
KAJ8036528	XP_798238
KAJ8036624	XP_003724177
KAJ8036688	XP_003727041
KAJ8036976	XP_030829897
KAJ8037008	XP_030839882
KAJ8037040	XP_011676909
KAJ8037136	XP_011664818
KAJ8037232	NP_001268689
KAJ8037264	XP_011669248
KAJ8037296	XP_030840086
KAJ8037328	NP_001116970
KAJ8037392	XP_030840224
KAJ8037424	XP_030839807
KAJ8037520	XP_030840668
KAJ8037616	XP_030839929
KAJ8037712	NP_999701
KAJ8037744	XP_030840375
KAJ8037808	XP_030840088
KAJ8037840	XP_011680695
KAJ8037968	XP_030840622
KAJ8038032	XP_030840839
KAJ8038224	XP_030853338
KAJ8038416	XP_030853317
KAJ8038480	XP_783577
KAJ8038512	XP_781074
KAJ8038576	XP_030854090
KAJ8038672	XP_030846967
KAJ8038736	XP_781558
KAJ8038832	XP_003729766
KAJ8038896	XP_030853505
KAJ8039024	XP_030840290
KAJ8039120	XP_030853879
KAJ8039152	XP_030841888
KAJ8039536	XP_003724738
KAJ8039632	NP_001139665
KAJ8039664	XP_030852317
KAJ8039696	XP_011664766
KAJ8039856	XP_782083
KAJ8040112	XP_030852138
KAJ8040144	XP_030852394
KAJ8040176	XP_030852823
KAJ8040208	XP_784517
KAJ8040272	XP_030851498
KAJ8040336	XP_030852403
KAJ8040592	XP_030852384
KAJ8040656	XP_030851735
KAJ8040688	XP_003725317
KAJ8040752	XP_011680794
KAJ8040880	XP_030848985
KAJ8040976	XP_787479
KAJ8041104	XP_011668262
KAJ8041264	XP_030831368
KAJ8041296	XP_030831526
KAJ8041328	XP_030832097
KAJ8041424	XP_779935
KAJ8041520	XP_030852770
KAJ8041552	XP_011667239
KAJ8041584	XP_011672067
KAJ8041616	XP_800346
KAJ8041744	XP_030831698
KAJ8041808	XP_030830907
KAJ8041840	XP_030832104
KAJ8041872	XP_011660580
KAJ8041968	XP_030831757
KAJ8042000	XP_011682531
KAJ8042064	XP_030831055
KAJ8042224	XP_030831437
KAJ8042256	XP_030831267
KAJ8042288	XP_785878
KAJ8042320	XP_030831215
KAJ8042448	XP_030831955
KAJ8042480	XP_003728976
KAJ8042640	XP_030847636
KAJ8042736	XP_030847906
KAJ8042768	XP_030847412
KAJ8042800	XP_030848017
KAJ8042928	XP_791600
KAJ8042960	XP_030847268
KAJ8043024	XP_030847418
KAJ8043056	XP_030847813
KAJ8043088	XP_798236
KAJ8043120	XP_030847518
KAJ8043504	XP_030848138
KAJ8043536	XP_798408
KAJ8043920	XP_030848246
KAJ8043952	XP_030847315
KAJ8043984	XP_788937
KAJ8044048	XP_030847472
KAJ8044240	XP_011682207
KAJ8044432	XP_030854468
KAJ8044464	XP_030855438
KAJ8044528	XP_011675197
KAJ8044560	XP_030855672
KAJ8044720	XP_785686
KAJ8044784	XP_030855580
KAJ8044880	XP_030854545
KAJ8044976	XP_001178789
KAJ8045008	XP_784245
KAJ8045072	XP_030855013
KAJ8045200	XP_003726228
KAJ8045264	XP_783963
KAJ8045296	XP_030855015
KAJ8045488	XP_030855681
KAJ8045520	XP_780225
KAJ8045552	XP_789413
KAJ8045616	XP_786078
KAJ8045648	XP_030855526
KAJ8045744	XP_793008
KAJ8045776	XP_030855045
KAJ8045840	XP_011662732
KAJ8045936	XP_030854523
KAJ8045968	XP_788671
KAJ8046000	XP_030854463
KAJ8046032	XP_030854671
KAJ8046096	XP_030855000
KAJ8046256	XP_784602
KAJ8046320	XP_030828395
KAJ8046352	XP_030856331
KAJ8046672	XP_030829271
KAJ8046768	XP_003727955
KAJ8046800	XP_030828468
KAJ8046992	XP_030829152
KAJ8047056	XP_030855913
KAJ8047216	XP_030827890
KAJ8047344	XP_011673824
KAJ8047440	XP_030839687
KAJ8047504	XP_030828159
KAJ8047568	XP_030838915
KAJ8047760	XP_030827946
KAJ8047888	XP_011677471
KAJ8048112	XP_795064
KAJ8048656	XP_030839026
KAJ8048880	XP_030849231
KAJ8049712	XP_011682052
KAJ8049744	XP_030849175
KAJ8050704	XP_030849615
KAJ8051056	XP_030849501
KAJ8051088	XP_030849905
KAJ8017361	NP_999808
KAJ8018257	XP_011666390
KAJ8018321	XP_030850279
KAJ8019153	XP_030849192
KAJ8019409	NP_999666
KAJ8019441	XP_030830423
KAJ8019569	XP_030830306
KAJ8019665	XP_781574
KAJ8019761	XP_030830391
KAJ8019825	XP_030830468
KAJ8019985	XP_781890
KAJ8020049	XP_030829975
KAJ8020209	XP_011681565
KAJ8020305	XP_011665372
KAJ8020337	XP_798618
KAJ8020401	XP_030830317
KAJ8020433	XP_782456
KAJ8020465	XP_030830436
KAJ8020497	XP_030829678
KAJ8020593	XP_030830079
KAJ8020625	XP_030829749
KAJ8020657	XP_030829613
KAJ8020721	XP_030830357
KAJ8020785	NP_999828
KAJ8020977	XP_030831793
KAJ8021169	XP_030830345
KAJ8021361	XP_781417
KAJ8021489	XP_030843273
KAJ8021617	XP_030842394
KAJ8021681	XP_011677745
KAJ8021713	XP_030842651
KAJ8021745	XP_003724424
KAJ8022001	XP_782784
KAJ8022225	XP_011682852
KAJ8022289	XP_030835750
KAJ8022449	XP_030855414
KAJ8022545	XP_030835620
KAJ8022577	XP_030835825
KAJ8022609	XP_030848585
KAJ8022641	XP_030835556
KAJ8022673	XP_030835762
KAJ8022833	XP_030835624
KAJ8022929	XP_030835722
KAJ8022961	XP_003728087
KAJ8023217	XP_030841058
KAJ8023281	NP_001091927
KAJ8023409	XP_788922
KAJ8023441	XP_011675073
KAJ8023793	XP_030829335
KAJ8023825	XP_030845119
KAJ8024049	XP_030845051
KAJ8024177	XP_030845015
KAJ8024401	NP_001099179
KAJ8024433	XP_030845953
KAJ8024561	XP_030846144
KAJ8024721	XP_030846370
KAJ8024785	XP_030828887
KAJ8024817	XP_001199084
KAJ8025009	XP_789512
KAJ8025393	XP_030841188
KAJ8025425	XP_030841719
KAJ8025457	XP_792159
KAJ8025553	XP_003725423
KAJ8025713	XP_003725185
KAJ8025777	XP_030827910
KAJ8025873	XP_784774
KAJ8025969	XP_784735
KAJ8026033	XP_030841609
KAJ8026097	XP_030842195
KAJ8026321	XP_030841646
KAJ8026417	XP_030852488
KAJ8026577	XP_030851139
KAJ8026673	XP_030850263
KAJ8026769	XP_003723320
KAJ8026865	XP_003727428
KAJ8026929	XP_030850374
KAJ8027089	XP_030850717
KAJ8027153	XP_030832791
KAJ8027217	XP_030850180
KAJ8027281	XP_030850350
KAJ8027345	XP_030831914
KAJ8027377	XP_030850198
KAJ8027409	XP_030850357
KAJ8027505	XP_780699
KAJ8027569	XP_030850601
KAJ8027921	XP_011665731
KAJ8027985	XP_780638
KAJ8028017	XP_030837032
KAJ8028177	XP_011671082
KAJ8028209	XP_003723960
KAJ8028401	XP_011674337
KAJ8028433	XP_030836361
KAJ8028497	XP_030837045
KAJ8028529	XP_030836837
KAJ8028561	XP_003730502
KAJ8028593	XP_030836671
KAJ8028625	XP_030836901
KAJ8028657	XP_785252
KAJ8028689	XP_011673799
KAJ8028721	XP_030836716
KAJ8028753	XP_030840018
KAJ8028785	XP_030836870
KAJ8028817	XP_789158
KAJ8028881	XP_030832427
KAJ8028913	XP_030832989
KAJ8028945	XP_796452
KAJ8029201	XP_011671566
KAJ8029233	XP_030832789
KAJ8029361	NP_999743
KAJ8029393	XP_780122
KAJ8029425	XP_030832575
KAJ8029553	XP_030832787
KAJ8029681	XP_030832805
KAJ8029873	XP_011671948
KAJ8029937	XP_030833093
KAJ8030033	XP_030832885
KAJ8030161	XP_030837406
KAJ8030289	XP_030837531
KAJ8030321	XP_030838175
KAJ8030449	XP_030837482
KAJ8030513	XP_011661931
KAJ8030609	XP_030838353
KAJ8030673	XP_030837489
KAJ8030705	XP_011665232
KAJ8030801	XP_011665491
KAJ8030993	XP_030832272
KAJ8031025	XP_788651
KAJ8031057	XP_030837722
KAJ8031153	XP_030844073
KAJ8031185	XP_030837420
KAJ8031217	XP_030837237
KAJ8031313	XP_030838450
KAJ8031889	XP_003725007
KAJ8032017	XP_030844268
KAJ8032241	XP_030844371
KAJ8032273	XP_003725769
KAJ8032305	XP_030845770
KAJ8032337	XP_030844439
KAJ8032465	XP_796485
KAJ8032497	XP_030844326
KAJ8032625	XP_030843761
KAJ8032785	XP_030838880
KAJ8033009	XP_030839282
KAJ8033041	XP_030850286
KAJ8033233	XP_030838619
KAJ8033585	XP_030838690
KAJ8033681	XP_030839258
KAJ8033873	XP_030839287
KAJ8034385	XP_030834386
KAJ8034513	XP_792607
KAJ8034545	XP_030834104
KAJ8034705	XP_011675487
KAJ8034769	XP_030834764
KAJ8034865	NP_001278230
KAJ8034897	XP_797207
KAJ8035153	XP_030833471
KAJ8035761	XP_030828493
KAJ8035793	XP_790476
KAJ8035857	XP_030856145
KAJ8035921	XP_799018
KAJ8036017	XP_030855806
KAJ8036305	XP_030828972
KAJ8036401	XP_030828511
KAJ8036817	XP_030839962
KAJ8036849	XP_785915
KAJ8036881	XP_030846319
KAJ8036913	XP_003725367
KAJ8036945	XP_003726426
KAJ8036977	XP_786576
KAJ8037233	XP_003724203
KAJ8037297	XP_030840322
KAJ8037457	XP_787939
KAJ8037489	XP_001178621
KAJ8037585	XP_799896
KAJ8037681	XP_011669041
KAJ8037713	XP_030840213
KAJ8037745	XP_781111
KAJ8037777	XP_030840261
KAJ8037809	XP_782306
KAJ8037841	XP_030840413
KAJ8037873	XP_030840025
KAJ8038001	XP_011672758
KAJ8038097	XP_781294
KAJ8038193	XP_030840267
KAJ8038289	XP_011674613
KAJ8038417	XP_001186094
KAJ8038481	XP_003723947
KAJ8038513	XP_030853370
KAJ8038705	XP_011681023
KAJ8038833	XP_030834513
KAJ8038865	XP_030854036
KAJ8038961	XP_030853439
KAJ8039025	XP_781983
KAJ8039249	XP_030853254
KAJ8039281	NP_001268681
KAJ8039313	XP_030853734
KAJ8039409	XP_030853768
KAJ8039473	XP_030853610
KAJ8039569	XP_003726111
KAJ8039665	XP_030842188
KAJ8039857	XP_782025
KAJ8040145	XP_030852328
KAJ8040177	XP_030851483
KAJ8040241	XP_792696
KAJ8040273	XP_030851933
KAJ8040433	XP_030852800
KAJ8040497	XP_011662763
KAJ8040529	XP_030852223
KAJ8040689	XP_780778
KAJ8040785	XP_030834980
KAJ8040817	XP_003731527
KAJ8041105	XP_030831134
KAJ8041201	XP_001199154
KAJ8041233	XP_030831016
KAJ8041521	XP_030830982
KAJ8041553	XP_003729928
KAJ8041681	XP_030831583
KAJ8041745	XP_797230
KAJ8041777	XP_795347
KAJ8041841	XP_030831670
KAJ8041937	XP_030840343
KAJ8041969	XP_011670547
KAJ8042065	XP_030831430
KAJ8042097	XP_030830927
KAJ8042225	XP_030831419
KAJ8042385	XP_794627
KAJ8042417	NP_001035104
KAJ8042609	XP_001180150
KAJ8042641	XP_791291
KAJ8042769	XP_030847458
KAJ8042833	XP_030848095
KAJ8042865	XP_790630
KAJ8042897	XP_003726875
KAJ8042961	NP_999813
KAJ8043089	XP_030848162
KAJ8043121	XP_797758
KAJ8043185	XP_791986
KAJ8043505	XP_030848139
KAJ8043601	XP_030827795
KAJ8043697	XP_003726420
KAJ8043793	XP_782318
KAJ8043857	XP_003723523
KAJ8043953	XP_030848077
KAJ8044017	XP_030847867
KAJ8044049	XP_030847063
KAJ8044081	XP_003725226
KAJ8044113	XP_030848327
KAJ8044209	XP_030847297
KAJ8044433	XP_030854836
KAJ8044465	XP_030855550
KAJ8044497	XP_030854929
KAJ8044561	XP_030855031
KAJ8044817	XP_030855185
KAJ8044849	XP_786171
KAJ8044977	XP_030855354
KAJ8045105	XP_030855274
KAJ8045201	XP_011682695
KAJ8045233	XP_003726783
KAJ8045265	XP_030854827
KAJ8045297	XP_001177880
KAJ8045329	XP_011670829
KAJ8045393	XP_791550
KAJ8045425	XP_785025
KAJ8045521	XP_001198820
KAJ8045649	XP_030854843
KAJ8045681	XP_030854402
KAJ8045713	XP_030854931
KAJ8045745	XP_794040
KAJ8045777	XP_789618
KAJ8046033	XP_030854670
KAJ8046065	XP_030854822
KAJ8046225	XP_785426
KAJ8046289	XP_030855872
KAJ8046385	XP_791815
KAJ8046513	XP_030828241
KAJ8046641	XP_030855758
KAJ8046737	XP_794125
KAJ8046769	XP_011669349
KAJ8046801	XP_030839442
KAJ8046833	XP_796904
KAJ8046865	XP_030855914
KAJ8046993	XP_030827987
KAJ8047057	XP_003725951
KAJ8047089	XP_783569
KAJ8047121	XP_030828921
KAJ8047217	XP_030828664
KAJ8047249	XP_786891
KAJ8047345	XP_030829366
KAJ8047441	XP_795786
KAJ8047505	XP_030856364
KAJ8047665	XP_784582
KAJ8047697	XP_003724720
KAJ8047761	XP_030853789
KAJ8047793	XP_030839275
KAJ8047857	XP_030839193
KAJ8047953	XP_030849312
KAJ8047985	XP_030848969
KAJ8048113	XP_795087
KAJ8048177	XP_003727774
KAJ8049105	XP_030841886
KAJ8049329	XP_030843867
KAJ8049361	XP_030848717
KAJ8049553	XP_011667196
KAJ8049681	XP_030848532
KAJ8049777	XP_030848511
KAJ8049809	XP_030841954
KAJ8049905	XP_030849211
KAJ8050193	XP_030844953
KAJ8050449	XP_782768
KAJ8050609	XP_030830480
KAJ8050705	XP_030849346
KAJ8017362	XP_030845447
KAJ8017618	XP_030836753
KAJ8018226	XP_030856416
KAJ8019410	XP_030830411
KAJ8019442	XP_030854683
KAJ8019506	XP_794602
KAJ8019538	NP_001189420
KAJ8019666	XP_011670210
KAJ8019986	XP_030830015
KAJ8020018	XP_011661550
KAJ8020242	XP_030849957
KAJ8020434	XP_030830115
KAJ8020498	XP_003726275
KAJ8020626	XP_030830085
KAJ8020658	XP_003726613
KAJ8020786	XP_030830181
KAJ8021042	XP_030830808
KAJ8021202	XP_003726435
KAJ8021234	XP_030842915
KAJ8021266	XP_030842372
KAJ8021362	XP_011667341
KAJ8021458	XP_030840793
KAJ8021490	XP_030842724
KAJ8021522	XP_030843090
KAJ8021618	XP_011680678
KAJ8021714	XP_003730022
KAJ8021906	XP_030838252
KAJ8022002	XP_792502
KAJ8022034	XP_030843000
KAJ8022514	XP_030846168
KAJ8022546	XP_030835591
KAJ8022674	XP_030835459
KAJ8022770	NP_001091919
KAJ8023058	XP_781952
KAJ8023122	XP_011675150
KAJ8023282	XP_030845433
KAJ8023346	XP_792239
KAJ8023762	XP_030845495
KAJ8024018	XP_030845349
KAJ8024050	XP_001178402
KAJ8024146	NP_999699
KAJ8024210	XP_030845378
KAJ8024242	XP_799955
KAJ8024402	XP_795140
KAJ8024530	XP_030845655
KAJ8024562	XP_030846023
KAJ8024594	XP_030846467
KAJ8024690	XP_784212
KAJ8024722	XP_030846677
KAJ8024978	XP_030845944
KAJ8025010	XP_030845916
KAJ8025138	XP_030828925
KAJ8025202	XP_030846390
KAJ8025298	XP_030845891
KAJ8025362	XP_030841488
KAJ8025394	XP_030848849
KAJ8025490	XP_787393
KAJ8025554	XP_030841170
KAJ8025650	NP_001009577
KAJ8025714	XP_786151
KAJ8025746	XP_001199448
KAJ8025810	XP_030855807
KAJ8025842	XP_030841658
KAJ8025906	XP_030848754
KAJ8025938	XP_003728901
KAJ8025970	XP_030841496
KAJ8026002	XP_030842031
KAJ8026098	XP_030841522
KAJ8026130	XP_030841596
KAJ8026162	XP_786990
KAJ8026258	XP_030841333
KAJ8026322	XP_011663630
KAJ8026354	XP_030841663
KAJ8026546	XP_030845461
KAJ8026674	XP_030851677
KAJ8026706	XP_030850563
KAJ8026770	XP_030850439
KAJ8026802	XP_030850035
KAJ8026834	XP_030847757
KAJ8026866	XP_011684001
KAJ8026898	XP_789981
KAJ8026930	XP_030850914
KAJ8027058	XP_030850813
KAJ8027090	XP_030850866
KAJ8027122	XP_788894
KAJ8027154	XP_030850674
KAJ8027282	XP_784173
KAJ8027410	XP_030850881
KAJ8027474	XP_030851230
KAJ8027730	XP_030836536
KAJ8027762	XP_786727
KAJ8027826	XP_030837168
KAJ8027890	XP_030836918
KAJ8027922	XP_030836035
KAJ8027986	XP_030836516
KAJ8028050	XP_797801
KAJ8028082	XP_030836927
KAJ8028178	XP_030836947
KAJ8028210	XP_011677846
KAJ8028274	XP_003724649
KAJ8028338	XP_030836522
KAJ8028498	XP_781317
KAJ8028562	XP_030836565
KAJ8028658	XP_030836594
KAJ8028690	XP_780425
KAJ8028786	XP_030836212
KAJ8028850	XP_030832777
KAJ8028946	XP_796432
KAJ8028978	XP_786890
KAJ8029138	XP_011666303
KAJ8029202	XP_030833200
KAJ8029298	XP_030832227
KAJ8029330	XP_795871
KAJ8029362	XP_011668296
KAJ8029458	XP_030833095
KAJ8029490	XP_030840324
KAJ8029522	XP_794413
KAJ8029554	XP_030832686
KAJ8029586	XP_030832339
KAJ8029682	XP_780196
KAJ8029746	XP_030832557
KAJ8029842	XP_781005
KAJ8029874	XP_011671946
KAJ8029938	XP_800551
KAJ8029970	XP_030833104
KAJ8030034	XP_030832475
KAJ8030258	XP_001187528
KAJ8030290	XP_030837525
KAJ8030322	XP_011680922
KAJ8030386	XP_030837730
KAJ8030482	XP_030838249
KAJ8030546	XP_030838064
KAJ8030674	XP_030838221
KAJ8030706	XP_791188
KAJ8030770	XP_789418
KAJ8030834	XP_030837518
KAJ8030898	XP_011680208
KAJ8031026	XP_011681962
KAJ8031122	XP_030837992
KAJ8031218	NP_001138965
KAJ8031250	XP_030837704
KAJ8031282	XP_795905
KAJ8031378	XP_030850044
KAJ8031442	XP_030844500
KAJ8031602	XP_030846773
KAJ8031954	XP_030844276
KAJ8032114	XP_030845150
KAJ8032146	XP_030844377
KAJ8032210	XP_030845439
KAJ8032402	XP_030846875
KAJ8032434	XP_011677589
KAJ8032530	XP_011661696
KAJ8032562	XP_030830254
KAJ8032626	XP_794902
KAJ8032786	XP_030839037
KAJ8032818	XP_783328
KAJ8032850	XP_030853366
KAJ8032882	XP_030838572
KAJ8033138	XP_030839261
KAJ8033234	XP_794623
KAJ8033266	XP_030839259
KAJ8033394	XP_030838581
KAJ8033522	XP_030845992
KAJ8034546	XP_030834137
KAJ8034642	XP_030834217
KAJ8034770	XP_784625
KAJ8035250	XP_030833960
KAJ8035282	XP_011676239
KAJ8035314	XP_030850589
KAJ8035442	XP_011660693
KAJ8035506	XP_030840950
KAJ8035570	XP_030856250
KAJ8035602	XP_030828631
KAJ8035634	XP_003731338
KAJ8035698	XP_030828824
KAJ8035794	XP_003731093
KAJ8035922	XP_794367
KAJ8035986	XP_030828070
KAJ8036018	XP_030856211
KAJ8036082	XP_030827896
KAJ8036242	XP_003724609
KAJ8036306	XP_780695
KAJ8036338	XP_030827938
KAJ8036626	XP_030856127
KAJ8036658	XP_003731096
KAJ8036850	XP_030840346
KAJ8036946	XP_030840333
KAJ8037010	XP_030839881
KAJ8037074	XP_011679373
KAJ8037138	XP_782266
KAJ8037170	XP_799247
KAJ8037202	XP_030840332
KAJ8037234	XP_030840121
KAJ8037266	XP_030840242
KAJ8037458	XP_030840495
KAJ8037778	XP_030847647
KAJ8037810	XP_003726971
KAJ8037842	XP_030840415
KAJ8037874	XP_030840023
KAJ8037938	XP_788063
KAJ8038002	XP_011672755
KAJ8038098	XP_790171
KAJ8038194	XP_030840277
KAJ8038322	XP_030848579
KAJ8038482	XP_783758
KAJ8038642	XP_798318
KAJ8038866	XP_790183
KAJ8038930	XP_794924
KAJ8039154	XP_030853279
KAJ8039218	XP_030853288
KAJ8039250	XP_797451
KAJ8039282	XP_030853352
KAJ8039314	XP_791762
KAJ8039410	XP_011674731
KAJ8039570	XP_003726162
KAJ8039634	XP_030851898
KAJ8039666	XP_030852080
KAJ8039762	XP_030852041
KAJ8039858	XP_011665698
KAJ8039890	XP_030852165
KAJ8040434	XP_788406
KAJ8040498	XP_030851803
KAJ8040530	XP_030852225
KAJ8040626	XP_030839111
KAJ8040658	XP_030851802
KAJ8040786	XP_030851101
KAJ8040818	XP_030851888
KAJ8040850	XP_030851477
KAJ8040946	XP_030852572
KAJ8041266	XP_030831869
KAJ8041298	XP_796474
KAJ8041554	XP_030832107
KAJ8041586	XP_030851899
KAJ8041842	XP_003725328
KAJ8041906	XP_030831455
KAJ8041938	XP_030831177
KAJ8042098	XP_030841258
KAJ8042226	XP_030831805
KAJ8042258	XP_030831330
KAJ8042418	XP_030831834
KAJ8042482	XP_030831780
KAJ8042610	XP_030847588
KAJ8042642	XP_030847966
KAJ8042898	XP_030855835
KAJ8042962	XP_796120
KAJ8043186	XP_030831131
KAJ8043538	XP_030848068
KAJ8043602	XP_030827832
KAJ8043698	XP_030847683
KAJ8043794	XP_030847695
KAJ8043954	XP_787363
KAJ8044018	XP_030847866
KAJ8044082	XP_030847920
KAJ8044434	XP_030855499
KAJ8044466	XP_003723448
KAJ8044498	XP_001175504
KAJ8044562	XP_030854611
KAJ8044754	XP_011670001
KAJ8044786	XP_030854209
KAJ8044850	XP_784016
KAJ8044978	XP_011676083
KAJ8045042	XP_011674038
KAJ8045138	XP_783118
KAJ8045170	XP_030854776
KAJ8045202	XP_003728057
KAJ8045266	XP_030855080
KAJ8045298	XP_797361
KAJ8045330	XP_030855324
KAJ8045394	XP_030832707
KAJ8045490	XP_003723582
KAJ8045554	XP_003725669
KAJ8045650	XP_030855678
KAJ8045682	XP_003728420
KAJ8045714	XP_030854334
KAJ8045746	XP_782739
KAJ8045938	XP_030855251
KAJ8045970	XP_030833376
KAJ8046034	XP_030855357
KAJ8046066	XP_030839940
KAJ8046290	XP_030829452
KAJ8046322	XP_030829830
KAJ8046610	XP_030828299
KAJ8046770	XP_030853447
KAJ8046802	XP_030842490
KAJ8046898	XP_003729503
KAJ8047058	XP_030856124
KAJ8047090	XP_030855889
KAJ8047122	XP_030855983
KAJ8047218	XP_794342
KAJ8047346	XP_030829364
KAJ8047474	XP_030830684
KAJ8047570	XP_030841293
KAJ8047634	XP_030828328
KAJ8047698	XP_781892
KAJ8047762	XP_011670710
KAJ8047890	XP_030856165
KAJ8048018	XP_030845847
KAJ8048882	XP_030848744
KAJ8049266	XP_030846469
KAJ8050226	XP_003728727
KAJ8050386	XP_003725707
KAJ8050706	XP_030848878
KAJ8050930	XP_030848942
KAJ8018643	XP_030853824
KAJ8019507	XP_011678927
KAJ8019539	XP_011680994
KAJ8019635	XP_030829994
KAJ8019699	XP_030830595
KAJ8019763	XP_030830097
KAJ8019859	XP_030829799
KAJ8019987	XP_781765
KAJ8020019	XP_011681454
KAJ8020147	XP_030830043
KAJ8025843	XP_011674256
KAJ8025875	XP_030842104
KAJ8025907	XP_030841221
KAJ8025971	XP_030842279
KAJ8026003	XP_011667546
KAJ8026035	XP_030842736
KAJ8026131	XP_030841494
KAJ8026291	XP_030842071
KAJ8026323	XP_030841747
KAJ8026355	XP_030842107
KAJ8026419	XP_030851246
KAJ8026483	XP_030850664
KAJ8026739	XP_030851130
KAJ8026771	XP_030850438
KAJ8026803	XP_030850534
KAJ8026899	XP_030850045
KAJ8027059	XP_011676377
KAJ8027091	XP_787081
