HOLleu_40989	MGLB19768
HOLleu_20883	MGLB03438
HOLleu_21017	MGLB03453
HOLleu_21103	MGLB01082
HOLleu_21193	MGLB06100
HOLleu_21384	MGLB14898
HOLleu_21658	MGLB03471
HOLleu_21880	MGLB03764
HOLleu_21917	MGLB04043
HOLleu_19248	MGLB11308
HOLleu_19285	MGLB12672
HOLleu_19328	MGLB11402
HOLleu_19369	MGLB12184
HOLleu_19575	MGLB11892
HOLleu_19701	MGLB11084
HOLleu_19744	MGLB12085
HOLleu_19868	MGLB12087
HOLleu_19910	MGLB11916
HOLleu_19947	MGLB17395
HOLleu_20239	MGLB11275
HOLleu_20281	MGLB11516
HOLleu_20399	MGLB12644
HOLleu_20494	MGLB12617
HOLleu_20534	MGLB11164
HOLleu_20653	MGLB12631
HOLleu_20735	MGLB03512
HOLleu_17711	MGLB00862
HOLleu_17760	MGLB00306
HOLleu_17881	MGLB00794
HOLleu_18001	MGLB17532
HOLleu_18083	MGLB00252
HOLleu_18123	MGLB00696
HOLleu_18198	MGLB00907
HOLleu_18234	MGLB00769
HOLleu_18270	MGLB20086
HOLleu_18352	MGLB01064
HOLleu_18476	MGLB00935
HOLleu_18603	MGLB05813
HOLleu_18637	MGLB08238
HOLleu_18714	MGLB00900
HOLleu_18760	MGLB16124
HOLleu_18801	MGLB00276
HOLleu_18923	MGLB00360
HOLleu_18999	MGLB00558
HOLleu_15575	MGLB13136
HOLleu_15838	MGLB13481
HOLleu_15917	MGLB13311
HOLleu_15958	MGLB13034
HOLleu_16037	MGLB13383
HOLleu_16245	MGLB13065
HOLleu_16456	MGLB06949
HOLleu_16608	MGLB08311
HOLleu_16741	MGLB13692
HOLleu_16781	MGLB04907
HOLleu_17287	MGLB13809
HOLleu_13688	MGLB20518
HOLleu_13739	MGLB20630
HOLleu_13777	MGLB20660
HOLleu_13987	MGLB05141
HOLleu_14316	MGLB20683
HOLleu_14359	MGLB20496
HOLleu_14397	MGLB20705
HOLleu_14437	MGLB20336
HOLleu_14510	MGLB20364
HOLleu_14597	MGLB20514
HOLleu_14923	MGLB20261
HOLleu_15014	MGLB20253
HOLleu_15052	MGLB20315
HOLleu_15142	MGLB20765
HOLleu_15266	MGLB20825
HOLleu_15313	MGLB14379
HOLleu_11782	MGLB09271
HOLleu_12033	MGLB08851
HOLleu_12081	MGLB08407
HOLleu_12118	MGLB08488
HOLleu_12234	MGLB08804
HOLleu_12407	MGLB08811
HOLleu_12444	MGLB09209
HOLleu_12486	MGLB09172
HOLleu_12603	MGLB08344
HOLleu_12647	MGLB08619
HOLleu_12683	MGLB08853
HOLleu_12716	MGLB09288
HOLleu_12760	MGLB08859
HOLleu_12794	MGLB08426
HOLleu_12919	MGLB08865
HOLleu_12959	MGLB08704
HOLleu_13037	MGLB08435
HOLleu_13231	MGLB08943
HOLleu_13269	MGLB09224
HOLleu_13307	MGLB08764
HOLleu_13343	MGLB08998
HOLleu_13509	MGLB08375
HOLleu_13545	MGLB08863
HOLleu_09447	MGLB01579
HOLleu_09579	MGLB07146
HOLleu_09621	MGLB07092
HOLleu_09657	MGLB07560
HOLleu_09815	MGLB07663
HOLleu_09859	MGLB08013
HOLleu_09986	MGLB07779
HOLleu_10034	MGLB07691
HOLleu_10081	MGLB07152
HOLleu_10620	MGLB07344
HOLleu_10659	MGLB07645
HOLleu_11235	MGLB07405
HOLleu_11279	MGLB07874
HOLleu_11315	MGLB07200
HOLleu_11399	MGLB07916
HOLleu_11444	MGLB06838
HOLleu_11643	MGLB08012
HOLleu_07177	MGLB16419
HOLleu_07223	MGLB16685
HOLleu_07305	MGLB16461
HOLleu_07341	MGLB16410
HOLleu_07486	MGLB16811
HOLleu_07542	MGLB16462
HOLleu_07634	MGLB16458
HOLleu_07763	MGLB16200
HOLleu_07888	MGLB17017
HOLleu_07924	MGLB16188
HOLleu_08001	MGLB16711
HOLleu_08154	MGLB17144
HOLleu_08238	MGLB17150
HOLleu_08278	MGLB16575
HOLleu_08507	MGLB16384
HOLleu_08545	MGLB17059
HOLleu_08584	MGLB17318
HOLleu_08656	MGLB16081
HOLleu_08728	MGLB16355
HOLleu_08809	MGLB16942
HOLleu_08857	MGLB16553
HOLleu_09057	MGLB17086
HOLleu_09098	MGLB14848
HOLleu_09146	MGLB16733
HOLleu_09185	MGLB16498
HOLleu_09274	MGLB16831
HOLleu_04873	MGLB12122
HOLleu_04957	MGLB18488
HOLleu_05434	MGLB11887
HOLleu_05553	MGLB11703
HOLleu_05589	MGLB11649
HOLleu_05858	MGLB11577
HOLleu_05948	MGLB12536
HOLleu_06162	MGLB11688
HOLleu_06325	MGLB12348
HOLleu_06524	MGLB11152
HOLleu_06843	MGLB11638
HOLleu_00123	MGLB09929
HOLleu_00169	MGLB00915
HOLleu_00286	MGLB13988
HOLleu_01377	MGLB14094
HOLleu_02526	MGLB14157
HOLleu_02577	MGLB14168
HOLleu_02626	MGLB14152
HOLleu_04007	MGLB13874
HOLleu_04480	MGLB14363
HOLleu_04525	MGLB14398
HOLleu_45290	MGLB12177
HOLleu_43850	MGLB15812
HOLleu_43753	MGLB15834
HOLleu_42443	MGLB16488
HOLleu_40990	MGLB19029
HOLleu_41041	MGLB19797
HOLleu_41214	MGLB19592
HOLleu_41337	MGLB19187
HOLleu_41480	MGLB18978
HOLleu_41576	MGLB19338
HOLleu_41796	MGLB19040
HOLleu_41889	MGLB19176
HOLleu_39736	MGLB19171
HOLleu_39865	MGLB18997
HOLleu_39907	MGLB19863
HOLleu_39983	MGLB19186
HOLleu_40020	MGLB19902
HOLleu_40063	MGLB19724
HOLleu_40102	MGLB19943
HOLleu_40225	MGLB19594
HOLleu_40263	MGLB17431
HOLleu_40307	MGLB19162
HOLleu_40386	MGLB18956
HOLleu_40466	MGLB19767
HOLleu_40722	MGLB08465
HOLleu_38718	MGLB18683
HOLleu_38870	MGLB18826
HOLleu_38955	MGLB18827
HOLleu_38994	MGLB18618
HOLleu_39034	MGLB18241
HOLleu_39363	MGLB18572
HOLleu_39643	MGLB18259
HOLleu_37140	MGLB10210
HOLleu_37473	MGLB10795
HOLleu_37521	MGLB10216
HOLleu_37562	MGLB04644
HOLleu_37602	MGLB04232
HOLleu_37638	MGLB10741
HOLleu_37837	MGLB10890
HOLleu_37921	MGLB10919
HOLleu_37962	MGLB10466
HOLleu_38010	MGLB10874
HOLleu_35551	MGLB19042
HOLleu_35651	MGLB17620
HOLleu_35849	MGLB17767
HOLleu_35890	MGLB17850
HOLleu_36334	MGLB17914
HOLleu_36372	MGLB17808
HOLleu_36663	MGLB10190
HOLleu_36830	MGLB17803
HOLleu_34340	MGLB15872
HOLleu_34500	MGLB15680
HOLleu_34714	MGLB15652
HOLleu_34794	MGLB12026
HOLleu_34838	MGLB15411
HOLleu_34967	MGLB13815
HOLleu_35090	MGLB15623
HOLleu_32938	MGLB04098
HOLleu_32974	MGLB04765
HOLleu_33020	MGLB02859
HOLleu_33142	MGLB04488
HOLleu_33341	MGLB04573
HOLleu_33556	MGLB04115
HOLleu_33683	MGLB04141
HOLleu_33722	MGLB06974
HOLleu_33763	MGLB04188
HOLleu_33838	MGLB04721
HOLleu_31578	MGLB01693
HOLleu_31701	MGLB01606
HOLleu_31821	MGLB02160
HOLleu_31859	MGLB01730
HOLleu_31900	MGLB02231
HOLleu_32128	MGLB02412
HOLleu_32170	MGLB02254
HOLleu_32295	MGLB02455
HOLleu_32389	MGLB01589
HOLleu_32467	MGLB09056
HOLleu_32544	MGLB02344
HOLleu_32664	MGLB02306
HOLleu_32742	MGLB02258
HOLleu_30018	MGLB03346
HOLleu_30099	MGLB02895
HOLleu_30138	MGLB02672
HOLleu_30344	MGLB03302
HOLleu_30380	MGLB02523
HOLleu_30621	MGLB14850
HOLleu_30748	MGLB03283
HOLleu_30790	MGLB03178
HOLleu_30838	MGLB03253
HOLleu_30880	MGLB02956
HOLleu_30922	MGLB03333
HOLleu_30961	MGLB03068
HOLleu_30999	MGLB03116
HOLleu_31036	MGLB03291
HOLleu_31120	MGLB02823
HOLleu_31166	MGLB02973
HOLleu_28132	MGLB06810
HOLleu_28170	MGLB05835
HOLleu_28207	MGLB01432
HOLleu_28539	MGLB06113
HOLleu_28576	MGLB06235
HOLleu_28736	MGLB05937
HOLleu_28772	MGLB06584
HOLleu_28808	MGLB06641
HOLleu_28979	MGLB06637
HOLleu_29135	MGLB06390
HOLleu_29385	MGLB06710
HOLleu_29472	MGLB06097
HOLleu_29602	MGLB06623
HOLleu_26491	MGLB14960
HOLleu_26655	MGLB00355
HOLleu_26698	MGLB14999
HOLleu_26884	MGLB14520
HOLleu_26959	MGLB16700
HOLleu_27071	MGLB14747
HOLleu_27144	MGLB14490
HOLleu_27189	MGLB14943
HOLleu_27319	MGLB08220
HOLleu_27617	MGLB15029
HOLleu_27660	MGLB14504
HOLleu_27832	MGLB05793
HOLleu_27875	MGLB14965
HOLleu_28003	MGLB14719
HOLleu_25241	MGLB12496
HOLleu_25417	MGLB05279
HOLleu_25585	MGLB05667
HOLleu_25713	MGLB05373
HOLleu_25759	MGLB05586
HOLleu_25843	MGLB20082
HOLleu_25918	MGLB05666
HOLleu_25996	MGLB10863
HOLleu_26040	MGLB09405
HOLleu_26195	MGLB05643
HOLleu_22835	MGLB09593
HOLleu_22915	MGLB09425
HOLleu_23124	MGLB09711
HOLleu_23406	MGLB09807
HOLleu_23878	MGLB10041
HOLleu_24006	MGLB09558
HOLleu_24243	MGLB00077
HOLleu_21194	MGLB03985
HOLleu_21385	MGLB03455
HOLleu_21427	MGLB03762
HOLleu_21659	MGLB03795
HOLleu_21744	MGLB06961
HOLleu_21881	MGLB03915
HOLleu_21919	MGLB10961
HOLleu_22286	MGLB03838
HOLleu_19330	MGLB11655
HOLleu_19370	MGLB12655
HOLleu_19455	MGLB11906
HOLleu_19535	MGLB12176
HOLleu_19576	MGLB12247
HOLleu_19702	MGLB11652
HOLleu_19745	MGLB11955
HOLleu_19869	MGLB11946
HOLleu_20240	MGLB12565
HOLleu_20362	MGLB12492
HOLleu_17459	MGLB00898
HOLleu_17493	MGLB07633
HOLleu_17536	MGLB15660
HOLleu_17619	MGLB00376
HOLleu_17663	MGLB00927
HOLleu_17882	MGLB00763
HOLleu_18002	MGLB00689
HOLleu_18085	MGLB00920
HOLleu_18271	MGLB00461
HOLleu_18315	MGLB11396
HOLleu_18392	MGLB05894
HOLleu_18434	MGLB16312
HOLleu_18566	MGLB00633
HOLleu_18604	MGLB00770
HOLleu_18638	MGLB01136
HOLleu_18676	MGLB00776
HOLleu_18715	MGLB00240
HOLleu_18761	MGLB01202
HOLleu_18805	MGLB00242
HOLleu_18924	MGLB00418
HOLleu_18962	MGLB01043
HOLleu_19076	MGLB00617
HOLleu_15576	MGLB13470
HOLleu_15669	MGLB13349
HOLleu_15840	MGLB13752
HOLleu_15918	MGLB13515
HOLleu_15959	MGLB13369
HOLleu_16039	MGLB10803
HOLleu_16203	MGLB13238
HOLleu_16373	MGLB17926
HOLleu_16420	MGLB13559
HOLleu_16610	MGLB13154
HOLleu_16902	MGLB13583
HOLleu_16945	MGLB13017
HOLleu_16985	MGLB13447
HOLleu_17119	MGLB13031
HOLleu_17204	MGLB13145
HOLleu_17330	MGLB13032
HOLleu_13740	MGLB04937
HOLleu_13991	MGLB05137
HOLleu_14360	MGLB20936
HOLleu_14398	MGLB20588
HOLleu_14511	MGLB20894
HOLleu_14810	MGLB20858
HOLleu_14848	MGLB20842
HOLleu_15054	MGLB20824
HOLleu_15183	MGLB10286
HOLleu_15220	MGLB20685
HOLleu_11829	MGLB08994
HOLleu_11944	MGLB08505
HOLleu_11984	MGLB08587
HOLleu_12236	MGLB09070
HOLleu_12359	MGLB09329
HOLleu_12408	MGLB08696
HOLleu_12445	MGLB07603
HOLleu_12570	MGLB09301
HOLleu_12648	MGLB09205
HOLleu_12762	MGLB09111
HOLleu_12876	MGLB09168
HOLleu_12920	MGLB09262
HOLleu_13082	MGLB08999
HOLleu_13193	MGLB20211
HOLleu_13232	MGLB08559
HOLleu_13424	MGLB09067
HOLleu_13466	MGLB08898
HOLleu_09404	MGLB07062
HOLleu_09448	MGLB07815
HOLleu_09695	MGLB07898
HOLleu_09776	MGLB07947
HOLleu_09860	MGLB08087
HOLleu_10035	MGLB08060
HOLleu_10082	MGLB07187
HOLleu_10164	MGLB07914
HOLleu_10775	MGLB07865
HOLleu_10903	MGLB07949
HOLleu_11056	MGLB07621
HOLleu_11141	MGLB20469
HOLleu_11281	MGLB07124
HOLleu_11352	MGLB07174
HOLleu_11400	MGLB07528
HOLleu_11445	MGLB07035
HOLleu_11491	MGLB07944
HOLleu_11600	MGLB07210
HOLleu_07178	MGLB16394
HOLleu_07225	MGLB16901
HOLleu_07262	MGLB16667
HOLleu_07342	MGLB16137
HOLleu_07635	MGLB17308
HOLleu_07680	MGLB17009
HOLleu_07723	MGLB16794
HOLleu_07889	MGLB16819
HOLleu_08037	MGLB17109
HOLleu_08117	MGLB20841
HOLleu_08155	MGLB16275
HOLleu_08197	MGLB07660
HOLleu_08240	MGLB16745
HOLleu_08279	MGLB17195
HOLleu_08318	MGLB17281
HOLleu_08398	MGLB17538
HOLleu_08436	MGLB16269
HOLleu_08546	MGLB16372
HOLleu_08729	MGLB16695
HOLleu_08772	MGLB16247
HOLleu_08810	MGLB16159
HOLleu_08858	MGLB16931
HOLleu_09186	MGLB16690
HOLleu_09236	MGLB17056
HOLleu_04910	MGLB12628
HOLleu_05039	MGLB12052
HOLleu_05202	MGLB12274
HOLleu_05390	MGLB12513
HOLleu_05470	MGLB12406
HOLleu_05513	MGLB17404
HOLleu_05555	MGLB11096
HOLleu_05592	MGLB11229
HOLleu_05639	MGLB12317
HOLleu_05689	MGLB12270
HOLleu_05859	MGLB11721
HOLleu_05950	MGLB12646
HOLleu_05987	MGLB12313
HOLleu_06027	MGLB11416
HOLleu_06163	MGLB11198
HOLleu_06210	MGLB12634
HOLleu_06326	MGLB11600
HOLleu_06436	MGLB12527
HOLleu_06525	MGLB11166
HOLleu_06755	MGLB12408
HOLleu_06844	MGLB11469
HOLleu_06892	MGLB08369
HOLleu_06976	MGLB11232
HOLleu_00081	MGLB01438
HOLleu_00124	MGLB14018
HOLleu_00287	MGLB14126
HOLleu_00376	MGLB01270
HOLleu_02075	MGLB14302
HOLleu_02527	MGLB14229
HOLleu_02675	MGLB14041
HOLleu_02855	MGLB13888
HOLleu_03659	MGLB13459
HOLleu_04009	MGLB10158
HOLleu_44844	MGLB03264
HOLleu_44000	MGLB05425
HOLleu_43901	MGLB11066
HOLleu_43348	MGLB19549
HOLleu_40991	MGLB19466
HOLleu_41042	MGLB16284
HOLleu_41132	MGLB19931
HOLleu_41174	MGLB19739
HOLleu_41339	MGLB19028
HOLleu_41797	MGLB19490
HOLleu_41848	MGLB19864
HOLleu_40021	MGLB18987
HOLleu_40064	MGLB14372
HOLleu_40104	MGLB19267
HOLleu_40264	MGLB19958
HOLleu_40308	MGLB19533
HOLleu_40467	MGLB19454
HOLleu_40798	MGLB19401
HOLleu_38332	MGLB18153
HOLleu_38377	MGLB18224
HOLleu_38414	MGLB18802
HOLleu_38534	MGLB01708
HOLleu_38720	MGLB18191
HOLleu_38760	MGLB18705
HOLleu_38872	MGLB18712
HOLleu_38995	MGLB18111
HOLleu_39364	MGLB18809
HOLleu_39407	MGLB18452
HOLleu_37474	MGLB10654
HOLleu_37759	MGLB10383
HOLleu_38012	MGLB10856
HOLleu_38132	MGLB10677
HOLleu_38211	MGLB15343
HOLleu_35652	MGLB17739
HOLleu_35759	MGLB05593
HOLleu_36296	MGLB17961
HOLleu_36617	MGLB17746
HOLleu_36792	MGLB17989
HOLleu_36871	MGLB17845
HOLleu_36920	MGLB17686
HOLleu_34268	MGLB01477
HOLleu_34303	MGLB15384
HOLleu_34463	MGLB15705
HOLleu_34501	MGLB15390
HOLleu_34539	MGLB15241
HOLleu_34666	MGLB16006
HOLleu_34716	MGLB15255
HOLleu_35051	MGLB15345
HOLleu_35091	MGLB15251
HOLleu_35342	MGLB15521
HOLleu_35470	MGLB15550
HOLleu_32900	MGLB04590
HOLleu_32940	MGLB04364
HOLleu_33063	MGLB04111
HOLleu_33143	MGLB04838
HOLleu_33267	MGLB04815
HOLleu_33342	MGLB04746
HOLleu_33389	MGLB04103
HOLleu_33468	MGLB11719
HOLleu_33508	MGLB04319
HOLleu_33646	MGLB04994
HOLleu_33684	MGLB04505
HOLleu_33723	MGLB05000
HOLleu_33839	MGLB04938
HOLleu_33885	MGLB04852
HOLleu_33925	MGLB04463
HOLleu_34019	MGLB10842
HOLleu_34052	MGLB10145
HOLleu_34134	MGLB04266
HOLleu_34175	MGLB04341
HOLleu_31579	MGLB02035
HOLleu_31617	MGLB02239
HOLleu_31702	MGLB02468
HOLleu_31744	MGLB01729
HOLleu_31784	MGLB07821
HOLleu_31822	MGLB01746
HOLleu_31860	MGLB07749
HOLleu_31901	MGLB01530
HOLleu_32091	MGLB01562
HOLleu_32129	MGLB13101
HOLleu_32172	MGLB01548
HOLleu_32210	MGLB01558
HOLleu_32390	MGLB18410
HOLleu_32508	MGLB03445
HOLleu_32546	MGLB01777
HOLleu_32626	MGLB01804
HOLleu_29767	MGLB02723
HOLleu_29810	MGLB02528
HOLleu_29894	MGLB03143
HOLleu_29974	MGLB03170
HOLleu_30019	MGLB03356
HOLleu_30100	MGLB03130
HOLleu_30177	MGLB03164
HOLleu_30215	MGLB02793
HOLleu_30345	MGLB02641
HOLleu_30381	MGLB02530
HOLleu_30467	MGLB03276
HOLleu_30542	MGLB02752
HOLleu_30749	MGLB02934
HOLleu_30839	MGLB03266
HOLleu_30962	MGLB03219
HOLleu_31000	MGLB03062
HOLleu_31039	MGLB19878
HOLleu_31121	MGLB03027
HOLleu_28208	MGLB01426
HOLleu_28251	MGLB06594
HOLleu_28466	MGLB05888
HOLleu_28540	MGLB06096
HOLleu_28661	MGLB06449
HOLleu_28700	MGLB06827
HOLleu_28738	MGLB06536
HOLleu_28851	MGLB06713
HOLleu_28894	MGLB00748
HOLleu_28933	MGLB06514
HOLleu_28981	MGLB06715
HOLleu_29021	MGLB06738
HOLleu_29136	MGLB06560
HOLleu_29349	MGLB06685
HOLleu_29386	MGLB06275
HOLleu_29473	MGLB06798
HOLleu_29521	MGLB06498
HOLleu_29603	MGLB06192
HOLleu_26620	MGLB04581
HOLleu_26656	MGLB14460
HOLleu_26699	MGLB00099
HOLleu_26885	MGLB14792
HOLleu_26919	MGLB14667
HOLleu_26998	MGLB15014
HOLleu_27145	MGLB14922
HOLleu_27190	MGLB14680
HOLleu_27272	MGLB14963
HOLleu_27404	MGLB02858
HOLleu_27618	MGLB14677
HOLleu_27747	MGLB14714
HOLleu_27876	MGLB14800
HOLleu_27923	MGLB15021
HOLleu_27965	MGLB14511
HOLleu_24552	MGLB05781
HOLleu_24633	MGLB05273
HOLleu_24844	MGLB05217
HOLleu_25331	MGLB05321
HOLleu_25537	MGLB05408
HOLleu_25586	MGLB05287
HOLleu_25675	MGLB05372
HOLleu_25919	MGLB05236
HOLleu_26081	MGLB05777
HOLleu_26116	MGLB19542
HOLleu_26196	MGLB05675
HOLleu_22836	MGLB09746
HOLleu_22875	MGLB10056
HOLleu_22916	MGLB13755
HOLleu_22959	MGLB09769
HOLleu_23283	MGLB09649
HOLleu_23407	MGLB10100
HOLleu_23447	MGLB09651
HOLleu_23492	MGLB10112
HOLleu_23621	MGLB09592
HOLleu_23784	MGLB15422
HOLleu_21428	MGLB03969
HOLleu_21567	MGLB03696
HOLleu_21745	MGLB03720
HOLleu_22412	MGLB03852
HOLleu_22497	MGLB04000
HOLleu_22668	MGLB03884
HOLleu_22758	MGLB01135
HOLleu_19288	MGLB11615
HOLleu_19331	MGLB11815
HOLleu_19374	MGLB12335
HOLleu_19456	MGLB17407
HOLleu_19577	MGLB12000
HOLleu_19835	MGLB11043
HOLleu_19870	MGLB11244
HOLleu_19949	MGLB12710
HOLleu_20241	MGLB11380
HOLleu_20322	MGLB06816
HOLleu_20656	MGLB12297
HOLleu_20700	MGLB04638
HOLleu_17494	MGLB00245
HOLleu_17620	MGLB00750
HOLleu_17716	MGLB00438
HOLleu_17804	MGLB00417
HOLleu_17883	MGLB01141
HOLleu_17917	MGLB01070
HOLleu_17956	MGLB00568
HOLleu_18003	MGLB01076
HOLleu_18043	MGLB00800
HOLleu_18272	MGLB00520
HOLleu_18677	MGLB01133
HOLleu_18716	MGLB00472
HOLleu_18763	MGLB00436
HOLleu_18806	MGLB00877
HOLleu_18885	MGLB00516
HOLleu_18963	MGLB00604
HOLleu_19077	MGLB01151
HOLleu_19202	MGLB01047
HOLleu_15919	MGLB13641
HOLleu_16124	MGLB15412
HOLleu_16421	MGLB13197
HOLleu_16493	MGLB13233
HOLleu_16571	MGLB13211
HOLleu_16784	MGLB13384
HOLleu_16865	MGLB13483
HOLleu_16903	MGLB13081
HOLleu_16946	MGLB13675
HOLleu_16986	MGLB13328
HOLleu_17120	MGLB13155
HOLleu_17331	MGLB13247
HOLleu_13691	MGLB20467
HOLleu_13742	MGLB20989
HOLleu_13865	MGLB20900
HOLleu_14040	MGLB20927
HOLleu_14561	MGLB20309
HOLleu_14599	MGLB20437
HOLleu_14726	MGLB14414
HOLleu_14811	MGLB20639
HOLleu_14849	MGLB20438
HOLleu_14971	MGLB15722
HOLleu_15016	MGLB20648
HOLleu_15055	MGLB20485
HOLleu_15221	MGLB20193
HOLleu_15268	MGLB20493
HOLleu_15407	MGLB21006
HOLleu_12035	MGLB09113
HOLleu_12083	MGLB09229
HOLleu_12448	MGLB20808
HOLleu_12763	MGLB08958
HOLleu_12837	MGLB08901
HOLleu_12877	MGLB08895
HOLleu_13233	MGLB08573
HOLleu_13271	MGLB09012
HOLleu_13467	MGLB08363
HOLleu_09405	MGLB07312
HOLleu_09449	MGLB08070
HOLleu_09623	MGLB07356
HOLleu_09861	MGLB07049
HOLleu_10165	MGLB07316
HOLleu_10663	MGLB07429
HOLleu_10776	MGLB07023
HOLleu_10904	MGLB07776
HOLleu_11057	MGLB07856
HOLleu_11098	MGLB19576
HOLleu_11282	MGLB07731
HOLleu_11353	MGLB07941
HOLleu_11446	MGLB07888
HOLleu_07179	MGLB16752
HOLleu_07226	MGLB16290
HOLleu_07263	MGLB17085
HOLleu_07343	MGLB17274
HOLleu_07591	MGLB17091
HOLleu_07724	MGLB16975
HOLleu_07890	MGLB16550
HOLleu_07965	MGLB16287
HOLleu_08038	MGLB16720
HOLleu_08080	MGLB16045
HOLleu_08118	MGLB16346
HOLleu_08156	MGLB16718
HOLleu_08198	MGLB17219
HOLleu_08241	MGLB16774
HOLleu_08281	MGLB16583
HOLleu_08319	MGLB16726
HOLleu_08399	MGLB05977
HOLleu_08509	MGLB17294
HOLleu_08585	MGLB16193
HOLleu_08659	MGLB04201
HOLleu_08695	MGLB16403
HOLleu_08730	MGLB16704
HOLleu_08773	MGLB16908
HOLleu_08812	MGLB16191
HOLleu_30480	MGLB02921
HOLleu_30765	MGLB02621
HOLleu_30807	MGLB02848
HOLleu_37357	MGLB10834
HOLleu_37484	MGLB07374
HOLleu_37612	MGLB10544
HOLleu_37648	MGLB10703
HOLleu_37690	MGLB10720
HOLleu_37982	MGLB10358
HOLleu_41677	MGLB19010
HOLleu_41754	MGLB19515
HOLleu_41809	MGLB19495
HOLleu_34179	MGLB04877
HOLleu_31233	MGLB01831
HOLleu_31410	MGLB02422
HOLleu_31543	MGLB01864
HOLleu_31585	MGLB01568
HOLleu_34138	MGLB04294
