XP_054747949	XP_003726530
XP_063957443	XP_030855111
XP_063957475	XP_030854395
XP_063957571	XP_030854237
XP_063957603	XP_030834391
XP_063957699	XP_786536
XP_063957763	XP_011667573
XP_063957795	XP_001200425
XP_063957859	XP_030854607
XP_063957891	XP_011678743
XP_063957923	XP_011680157
XP_063957955	XP_003730430
XP_063958019	XP_001189397
XP_063958051	XP_030854331
XP_063958179	XP_030854382
XP_063958243	XP_780930
XP_063958307	XP_030855226
XP_063958371	XP_030855501
XP_063958403	XP_030855259
XP_063958435	XP_030855179
XP_063958467	XP_781122
XP_063958499	XP_011673874
XP_063958595	XP_011667623
XP_063958659	XP_030855503
XP_063958691	XP_011671252
XP_063958755	XP_030855512
XP_063958819	NP_999761
XP_063958883	XP_011661039
XP_063958915	XP_030854536
XP_063958947	XP_782861
XP_063959235	XP_011671562
XP_063959299	XP_030833859
XP_063959363	XP_030834077
XP_063959395	XP_030834817
XP_063959523	XP_011669985
XP_063959555	XP_030834177
XP_063959587	XP_789191
XP_063959715	XP_030833470
XP_063959779	XP_003727052
XP_063959843	XP_030840552
XP_063959875	XP_030834840
XP_063959907	XP_030833696
XP_063959971	XP_030833423
XP_063960099	XP_799142
XP_063960163	XP_003723285
XP_063960323	XP_011668267
XP_063960451	XP_030845444
XP_063960643	XP_030845324
XP_063960675	XP_030845545
XP_063960707	XP_030844672
XP_063960739	XP_030845567
XP_063960835	XP_030845405
XP_063960899	XP_011673792
XP_063960931	XP_030845461
XP_063960963	XP_030829861
XP_063960995	XP_030844944
XP_063961027	XP_030845132
XP_063961187	XP_030840075
XP_063961251	XP_030839983
XP_063961443	XP_030839840
XP_063961475	XP_030840234
XP_063961507	XP_792285
XP_063961571	XP_030847425
XP_063961603	XP_030840756
XP_063961667	XP_030854698
XP_063961731	XP_001183644
XP_063961827	XP_030840819
XP_063961859	XP_030840240
XP_063961891	XP_030840197
XP_063961955	XP_030839988
XP_063961987	XP_030840125
XP_063962051	XP_796819
XP_063962115	XP_030840996
XP_063962147	XP_793152
XP_063962275	XP_030847472
XP_063962307	XP_011675287
XP_063962339	XP_030852243
XP_063962371	XP_030830657
XP_063962403	XP_011682861
XP_063962435	XP_030852398
XP_063962563	XP_011684249
XP_063962595	XP_011663889
XP_063962627	XP_030852770
XP_063962659	XP_011661355
XP_063962691	XP_011669327
XP_063962723	XP_030847225
XP_063962755	XP_030851898
XP_063962851	XP_030852353
XP_063962915	XP_030847266
XP_063963043	XP_030847280
XP_063963107	XP_011665441
XP_063963171	XP_030845845
XP_063963235	XP_030842181
XP_063963267	XP_030841874
XP_063963299	XP_011682172
XP_063963331	XP_011671658
XP_063963395	XP_003730011
XP_063963459	XP_003723328
XP_063963555	XP_030842170
XP_063963619	XP_030847759
XP_063963651	XP_011662642
XP_063963683	XP_011662249
XP_063963715	XP_011674709
XP_063963747	XP_786430
XP_063963779	XP_030841906
XP_063963875	XP_030847821
XP_063963907	XP_781741
XP_063963939	XP_003729152
XP_063963971	XP_011661108
XP_063964003	XP_030841698
XP_063964035	XP_030841654
XP_063964131	XP_030842142
XP_063964163	XP_011665137
XP_063964259	XP_030846781
XP_063964323	XP_030845872
XP_063964355	XP_003729360
XP_063964419	XP_001191962
XP_063964451	XP_030846464
XP_063964483	XP_030829873
XP_063964515	XP_030846848
XP_063964643	XP_030845959
XP_063964675	XP_030845844
XP_063964739	XP_030834295
XP_063964803	XP_030845818
XP_063964931	XP_030836271
XP_063964963	XP_030830374
XP_063964995	XP_030853404
XP_063965155	XP_030842487
XP_063965219	XP_001180929
XP_063965347	XP_030838202
XP_063965379	XP_003726614
XP_063965411	XP_030837668
XP_063965443	XP_030843048
XP_063965475	NP_999632
XP_063965507	XP_030848157
XP_063965539	XP_011671706
XP_063965571	XP_030843202
XP_063965603	XP_030842520
XP_063965667	XP_030842507
XP_063965731	XP_030831489
XP_063965763	XP_011675430
XP_063965795	XP_030842454
XP_063965859	XP_030842557
XP_063965891	XP_782318
XP_063965987	XP_030853544
XP_063966019	XP_030854021
XP_063966179	XP_796650
XP_063966243	XP_030853402
XP_063966275	XP_030853910
XP_063966307	XP_030840325
XP_063966339	XP_030853132
XP_063966371	XP_030853746
XP_063966435	XP_011682666
XP_063966531	XP_030844829
XP_063966563	XP_030847544
XP_063966595	XP_011665189
XP_063966723	XP_030849802
XP_063966819	XP_030853206
XP_063966947	XP_030837591
XP_063967011	XP_003723337
XP_063967043	XP_030849582
XP_063967075	XP_011665491
XP_063967139	XP_797875
XP_063967203	XP_794177
XP_063967267	XP_030838357
XP_063967299	XP_030850511
XP_063967395	XP_030837414
XP_063967427	XP_030838471
XP_063967491	XP_030839719
XP_063967523	XP_030838052
XP_063967555	XP_030847897
XP_063967587	XP_003730708
XP_063967651	XP_030837911
XP_063967715	XP_030838073
XP_063967779	XP_030837540
XP_063967811	XP_003729294
XP_063967843	XP_030839261
XP_063967875	XP_030838882
XP_063967907	XP_011682550
XP_063967939	XP_030839082
XP_063967971	XP_030838586
XP_063968099	XP_030847955
XP_063968163	XP_030838572
XP_063968227	XP_030838928
XP_063968259	XP_030838632
XP_063968419	XP_030839287
XP_063968547	XP_030829455
XP_063968643	XP_030838570
XP_063968739	XP_030838985
XP_063968803	XP_030835794
XP_063968867	XP_030835047
XP_063968995	XP_030835660
XP_063969123	XP_030835140
XP_063969219	XP_030835345
XP_063969251	XP_781575
XP_063969315	XP_030847158
XP_063969379	XP_789039
XP_063969411	XP_003725927
XP_063969539	XP_011676806
XP_063969731	XP_001194806
XP_063969763	XP_030844155
XP_063969827	XP_793197
XP_063969859	XP_030828779
XP_063969987	XP_030843940
XP_063970019	XP_030855047
XP_063970147	XP_030844140
XP_063970179	XP_787120
XP_063970211	XP_792838
XP_063970275	XP_030836863
XP_063970307	XP_001197675
XP_063970339	XP_030832928
XP_063970403	XP_800783
XP_063970435	XP_011664540
XP_063970467	XP_030837075
XP_063970499	XP_030836238
XP_063970659	XP_003724647
XP_063970723	XP_030843744
XP_063970787	XP_030831311
XP_063970851	XP_030843706
XP_063970883	XP_030844311
XP_063971043	XP_001185328
XP_063971171	XP_030844611
XP_063971203	XP_011676993
XP_063971235	XP_001200632
XP_063971299	XP_795580
XP_063971427	XP_030852198
XP_063971459	XP_030855581
XP_063971619	XP_030848096
XP_063971683	XP_030831761
XP_063971747	XP_030832006
XP_063971779	XP_793296
XP_054747954	XP_030830506
XP_054748142	XP_030831878
XP_054748250	XP_030833735
XP_054748313	XP_030831203
XP_054748381	XP_003727781
XP_054748465	XP_030832024
XP_054748795	XP_030847365
XP_054748891	XP_030848247
XP_054748950	XP_030831735
XP_054749078	XP_003726383
XP_054749129	XP_011663291
XP_054749196	XP_003726499
XP_054749317	XP_011679344
XP_054749383	XP_030847398
XP_054749501	XP_784878
XP_054749558	XP_030847277
XP_054749661	XP_030831466
XP_054749763	XP_030827922
XP_054749850	XP_030856210
XP_054749986	XP_030856308
XP_054750128	XP_030828582
XP_054750360	XP_030829207
XP_054750483	XP_011667107
XP_054750611	XP_030853874
XP_054750737	XP_011677471
XP_054750784	XP_791720
XP_054750946	XP_030856161
XP_054751005	XP_780545
XP_054751147	XP_011683015
XP_054751187	XP_030856201
XP_054751405	XP_030856277
XP_054751457	XP_794984
XP_054751512	XP_788734
XP_054751578	XP_030830435
XP_054751645	XP_030828711
XP_054751699	XP_011663837
XP_054751763	XP_030856152
XP_054751813	XP_781892
XP_054751863	XP_785121
XP_054752023	XP_003723421
XP_054752088	XP_030856135
XP_054752159	XP_030827855
XP_054752241	XP_011668023
XP_054752327	XP_780016
XP_054752389	XP_030828117
XP_054752528	XP_003724502
XP_054752626	XP_011683215
XP_054752694	XP_030830737
XP_054752769	XP_003728828
XP_054752903	XP_011669960
XP_054753067	XP_030851410
XP_054753146	XP_030850791
XP_054753215	XP_011677303
XP_054753278	XP_030830391
XP_054753349	XP_781324
XP_054753478	XP_003729112
XP_054753657	XP_780956
XP_054753821	XP_030850535
XP_054754049	XP_030849989
XP_054754112	XP_011671742
XP_054754382	XP_030832393
XP_054754450	XP_003723404
XP_054754516	XP_030833231
XP_054754591	XP_030836732
XP_054754672	XP_030830225
XP_054754727	XP_003723884
XP_054754781	XP_786444
XP_054754848	XP_783631
XP_054754967	XP_030832739
XP_054755013	XP_030836448
XP_054755504	XP_030829676
XP_054755639	XP_030832751
XP_054755791	XP_780373
XP_054756003	XP_030837023
XP_054756135	XP_780706
XP_054756210	XP_779900
XP_054756350	XP_783684
XP_054756416	XP_030832764
XP_054756541	XP_030833128
XP_054756608	XP_030832557
XP_054756662	XP_790728
XP_054756723	XP_030830492
XP_054756828	XP_030850442
XP_054756946	XP_011683219
XP_054757273	XP_011669387
XP_054757551	XP_030848975
XP_054757714	XP_030849048
XP_054758031	XP_003728410
XP_054758127	XP_800078
XP_054758192	XP_030855116
XP_054758255	XP_781831
XP_054758339	XP_030855457
XP_054758466	XP_030855338
XP_054758542	XP_030855280
XP_054758604	XP_030855045
XP_054758676	XP_030854733
XP_054758736	XP_003726478
XP_054758790	XP_030854903
XP_054758863	XP_030854207
XP_054758920	XP_789413
XP_054758977	NP_001123284
XP_054759047	XP_030854217
XP_054759164	XP_030838552
XP_054759349	XP_030855197
XP_054759531	XP_030854794
XP_054759654	XP_785719
XP_054759839	XP_003728422
XP_054760034	XP_030834103
XP_054760152	XP_030834378
XP_054760442	XP_030833324
XP_054760528	XP_003726634
XP_054760706	XP_030829649
XP_054761619	XP_011681533
XP_054761733	XP_030844960
XP_054761835	XP_003729661
XP_054761977	XP_030849383
XP_054762129	XP_011676974
XP_054762493	XP_791189
XP_054762603	XP_030840520
XP_054762682	XP_800152
XP_054762749	XP_786731
XP_054762815	XP_782128
XP_054762889	XP_030840683
XP_054763055	XP_030840745
XP_054763228	XP_800004
XP_054763327	XP_030839722
XP_054763474	XP_030840977
XP_054763803	XP_030840800
XP_054763937	XP_011681175
XP_054764061	XP_003724548
XP_054764180	XP_030852265
XP_054764254	XP_030852138
XP_054764365	XP_030852278
XP_054764427	XP_030852394
XP_054764488	XP_030836624
XP_054764556	XP_030844503
XP_054764659	XP_011662440
XP_054764810	XP_030852248
XP_054764887	XP_003723398
XP_054764955	XP_030852644
XP_054765166	XP_030852172
XP_054765330	XP_030852253
XP_054765437	XP_011662780
XP_054765721	XP_782148
XP_054765877	XP_030842204
XP_054765958	XP_030849012
XP_054766044	XP_003727705
XP_054766293	NP_999831
XP_054766349	XP_786544
XP_054766395	XP_030842176
XP_054766464	XP_030841207
XP_054766533	XP_796839
XP_054766600	XP_011676914
XP_054766665	XP_030841304
XP_054766743	XP_011663570
XP_054766974	XP_003727589
XP_054767166	XP_030846739
XP_054767285	XP_030846205
XP_054767379	XP_789512
XP_054767617	XP_030846167
XP_054767765	XP_003726327
XP_054767871	XP_030845910
XP_054767954	XP_003725344
XP_054768150	XP_011675958
XP_054768552	XP_030843408
XP_054768707	XP_785591
XP_054768846	XP_785779
XP_054768917	XP_030843184
XP_054768981	XP_030842735
XP_054769064	XP_030842783
XP_054769162	XP_030842350
XP_054769444	XP_030853842
XP_054769772	XP_780367
XP_054769867	XP_030853890
XP_054769988	XP_030831959
XP_054770153	XP_781617
XP_054770222	XP_793697
XP_054770469	XP_030853690
XP_054770565	XP_030832044
XP_054770661	XP_030837981
XP_054770739	XP_003730096
XP_054770951	XP_030837554
XP_054771174	XP_030837806
XP_054771386	XP_030838143
XP_054771470	XP_030837380
XP_054771634	XP_011681083
XP_054771719	XP_011664698
XP_054771801	XP_030831436
XP_054772013	XP_030838576
XP_054772279	XP_794147
XP_054772675	NP_999826
XP_054772774	XP_011660799
XP_054772886	XP_011679021
XP_054773017	XP_786682
XP_054773115	XP_003728783
XP_054773202	XP_030835489
XP_054773668	XP_030835120
XP_054773800	XP_795616
XP_054773891	XP_011671863
XP_054773998	XP_011672620
XP_054774146	XP_799052
XP_054774242	XP_003726868
XP_054774444	XP_030843709
XP_054774983	XP_001175489
XP_054775301	XP_030850734
XP_063950916	XP_030830948
XP_063950948	XP_784010
XP_063950980	XP_030831316
XP_063951012	XP_030832017
XP_063951076	XP_030831960
XP_063951204	XP_030831608
XP_063951268	XP_011675358
XP_063951300	XP_030831264
XP_063951364	XP_030831266
XP_063951428	XP_030831694
XP_063951460	XP_030830944
XP_063951492	XP_030831289
XP_063951620	XP_030831638
XP_063951748	XP_011673563
XP_063951780	XP_030833744
XP_063951908	XP_030847198
XP_063952004	XP_011662307
XP_063952036	XP_030828977
XP_063952100	XP_030855945
XP_063952228	XP_011667875
XP_063952260	XP_780497
XP_063952356	XP_011676544
XP_063952388	XP_030839442
XP_063952420	XP_786634
XP_063952452	XP_030828852
XP_063952484	XP_030829248
XP_063952516	XP_787563
XP_063952740	XP_030855912
XP_063952772	XP_030853121
XP_063952868	XP_030830234
XP_063953060	XP_030856164
XP_063953124	XP_030855758
XP_063953156	XP_030828183
XP_063953284	XP_030828224
XP_063953316	XP_030830140
XP_063953508	XP_030855867
XP_063953572	XP_001199284
XP_063953604	XP_011683797
XP_063953828	XP_030832297
XP_063953860	XP_003731093
XP_063953892	XP_030829142
XP_063953924	XP_011678498
XP_063954052	XP_030851399
XP_063954084	XP_030828278
XP_063954116	XP_030851786
XP_063954148	XP_030851048
XP_063954180	XP_030850021
XP_063954372	XP_030851246
XP_063954404	XP_011673956
XP_063954436	XP_030850317
XP_063954468	XP_030851124
XP_063954564	XP_030850976
XP_063954660	XP_030850653
XP_063954692	XP_030850717
XP_063954724	XP_030850455
XP_063954756	XP_030850467
XP_063954820	XP_030851059
XP_063954852	XP_030828479
XP_063954948	XP_030850338
XP_063955012	XP_011662356
XP_063955044	XP_030851283
XP_063955076	XP_030851293
XP_063955108	XP_030836761
XP_063955140	XP_003729057
XP_063955236	XP_030836295
XP_063955332	XP_030836751
XP_063955364	XP_030832215
XP_063955396	XP_003730170
XP_063955428	XP_787596
XP_063955588	XP_030836277
XP_063955652	XP_784450
XP_063955684	XP_030832137
XP_063955876	XP_003730175
XP_063955908	XP_030833079
XP_063955972	XP_030832889
XP_063956036	XP_030830805
XP_063956132	XP_030833135
XP_063956164	XP_001197883
XP_063956260	XP_030832391
XP_063956292	XP_783117
XP_063956324	XP_030832938
XP_063956388	XP_030836712
XP_063956452	XP_003730043
XP_063956548	XP_030848969
XP_063956772	XP_030849186
XP_063956804	XP_030839709
XP_063956900	XP_030849060
XP_063956964	XP_030849041
XP_063957028	XP_030850890
XP_063957092	XP_030849306
XP_063957124	XP_011663909
XP_063957156	XP_030847344
XP_063957220	XP_795047
XP_063957412	XP_782942
XP_063957476	XP_030854300
XP_063957604	XP_030854506
XP_063957668	XP_030854764
XP_063957796	XP_030854804
XP_063957860	XP_030855032
XP_063957956	XP_030855464
XP_063958052	XP_030855314
XP_063958116	XP_800553
XP_063958244	XP_030854820
XP_063958276	XP_011661487
XP_063958308	XP_030828701
XP_063958372	XP_011679948
XP_063958532	XP_011680115
XP_063958596	XP_783603
XP_063958628	XP_030855099
XP_063958660	XP_030843357
XP_063958756	XP_030854826
XP_063958788	XP_030854878
XP_063958820	XP_011673878
XP_063958948	XP_030854858
XP_063958980	XP_003723593
XP_063959012	XP_030855130
XP_063959076	XP_011673970
XP_063959268	XP_030833664
XP_063959300	XP_030833853
XP_063959364	XP_030834064
XP_063959428	XP_011660375
XP_063959460	XP_793337
XP_063959492	XP_011669531
XP_063959556	XP_030834178
XP_063959716	XP_030833473
XP_063959780	XP_030833388
XP_063960068	XP_011664619
XP_063960100	XP_030834050
XP_063960132	XP_003726185
XP_063960196	XP_011677650
XP_063960388	XP_011666163
XP_063960452	XP_791728
XP_063960484	XP_030844942
XP_063960516	XP_030844900
XP_063960612	XP_030830108
XP_063960644	XP_030845329
XP_063960772	XP_785096
XP_063960836	XP_030845403
XP_063960900	XP_030844995
XP_063960932	XP_030845447
XP_063960964	XP_030845176
XP_063960996	XP_030844950
XP_063961028	XP_030847086
XP_063961060	XP_030845201
XP_063961188	XP_784448
XP_063961252	XP_030839982
XP_063961284	XP_030839817
XP_063961348	XP_784561
XP_063961380	XP_030839878
XP_063961508	XP_782266
XP_063961540	XP_030840355
XP_063961572	XP_030840296
XP_063961636	XP_030840461
XP_063961732	XP_030841841
XP_063961828	XP_030840713
XP_063961892	XP_030840180
XP_063961956	XP_030856370
XP_063961988	XP_003724203
XP_063962020	XP_030839823
XP_063962052	XP_786488
XP_063962212	XP_003729915
XP_063962276	XP_030851900
XP_063962308	XP_030844324
XP_063962340	XP_030846939
XP_063962372	XP_030836485
XP_063962468	XP_030851928
XP_063962500	XP_030851516
XP_063962564	XP_011684250
XP_063962596	XP_030851741
XP_063962628	XP_011665298
XP_063962660	XP_030851794
XP_063962692	XP_030851843
XP_063962724	XP_011675286
XP_063962756	XP_030851899
XP_063962852	XP_011670360
XP_063962948	XP_780651
XP_063963044	XP_030851716
XP_063963204	XP_030852848
XP_063963236	XP_030842182
XP_063963268	XP_001176236
XP_063963396	XP_030841535
XP_063963428	XP_030847782
XP_063963460	XP_030842108
XP_063963492	XP_011671654
XP_063963524	XP_030841772
XP_063963556	XP_030841382
XP_063963652	XP_011682732
XP_063963780	XP_011682338
XP_063963812	XP_030841553
XP_063963844	XP_030847823
XP_063963908	XP_030847820
XP_063963972	XP_792026
XP_063964036	XP_003729286
XP_063964068	XP_011665025
XP_063964132	XP_030842240
XP_063964164	XP_030847311
XP_063964196	XP_030845974
XP_063964260	XP_003725402
XP_063964356	XP_030846785
XP_063964388	XP_030846586
XP_063964484	XP_030848065
XP_063964516	XP_030846465
XP_063964580	XP_030846302
XP_063964612	XP_030846702
XP_063964644	XP_011665879
XP_063964708	XP_030846539
XP_063964740	XP_030847377
XP_063964836	XP_780985
XP_063964996	XP_030830315
XP_063965092	XP_030849184
XP_063965156	XP_030843213
XP_063965188	XP_030843516
XP_063965380	XP_003724636
XP_063965412	XP_030843299
XP_063965540	XP_791005
XP_063965572	XP_030842651
XP_063965604	XP_030847826
XP_063965764	XP_787178
XP_063965828	XP_011668379
XP_063965860	XP_030843176
XP_063965892	XP_001185644
XP_063966116	XP_799050
XP_063966244	XP_030853716
XP_063966340	XP_030853399
XP_063966372	XP_030854104
XP_063966436	XP_030853505
XP_063966468	XP_030847530
XP_063966500	XP_030853733
XP_063966564	XP_030853844
XP_063966596	XP_030853092
XP_063966692	XP_030846890
XP_063966756	XP_003731554
XP_063966852	XP_030853408
XP_063966884	XP_030837486
XP_063966916	XP_030837849
XP_063967012	XP_030851304
XP_063967044	XP_030838173
XP_063967140	XP_030837754
XP_063967204	XP_030837525
XP_063967268	XP_782308
XP_063967300	XP_030837612
XP_063967332	XP_030837466
XP_063967460	XP_792408
XP_063967524	XP_030846996
XP_063967556	XP_011662579
XP_063967780	XP_030838139
XP_063967812	XP_793091
XP_063967844	XP_030838935
XP_063967972	XP_030838587
XP_063968004	XP_030839495
XP_063968036	XP_030847944
XP_063968100	XP_030839576
XP_063968164	XP_030839498
XP_063968196	XP_030838871
XP_063968228	XP_030829855
XP_063968388	XP_030837948
XP_063968452	XP_030854166
XP_063968548	XP_030838989
XP_063968580	XP_780661
XP_063968612	XP_030855569
XP_063968644	XP_011672193
XP_063968772	XP_030835504
XP_063968836	XP_030835072
XP_063968868	XP_030835048
XP_063968932	XP_030835244
XP_063968996	XP_030835218
XP_063969092	XP_030835426
XP_063969220	XP_796224
XP_063969252	XP_011674833
XP_063969412	XP_030835129
XP_063969444	XP_030835990
XP_063969476	XP_011677587
XP_063969540	XP_030836072
XP_063969572	XP_030835725
XP_063969668	XP_030835383
XP_063969700	XP_030843614
XP_063969732	XP_011683559
XP_063969764	XP_030843857
XP_063969892	XP_030843743
XP_063969924	XP_011670527
XP_063970052	XP_030843975
